Size     ;Classic  ;Winorgad ;Imprv Wino  ;Impv Classic
100 X 100;290,94333  ;361,24867  ;307,45867     ;186,74667
200 X 200;2353,78200  ;2815,53167  ;2542,62967     ;1510,97900
300 X 300;7412,31867  ;8559,82133  ;7807,55367     ;4662,86333
400 X 400;18560,03933  ;22043,19033  ;19563,29733     ;11975,96067
500 X 500;37094,78200  ;44213,58000  ;41490,46667     ;23845,95133
600 X 600;63905,64467  ;82005,13800  ;72646,38367     ;41914,59400
700 X 700;107256,68167  ;137257,87933  ;123870,87800     ;73450,65300
800 X 800;154546,39333  ;196856,36467  ;176563,80400     ;103469,35833
900 X 900;221015,69867  ;280759,76167  ;258684,84033     ;148171,84433
1000 X 1000;306991,44867  ;386513,90867  ;359238,27967     ;200993,01133




101 X 101;303,88400  ;356,69100  ;312,80333     ;186,54467
201 X 201;2230,60500  ;2600,42033  ;2351,83467     ;1424,86367
301 X 301;7662,25700  ;8809,80667  ;8061,61600     ;4859,16000
401 X 401;18658,00100  ;22335,59000  ;21140,32800     ;12475,44567
501 X 501;37049,78233  ;43786,63667  ;40248,24167     ;23620,58367
601 X 601;64789,63533  ;78651,74167  ;71082,76400     ;42363,01100
701 X 701;103867,78933  ;125626,53600  ;117352,42733     ;70031,39067
801 X 801;155306,45600  ;198218,44867  ;175573,72567     ;100056,82200
901 X 901;220950,60200  ;274289,26800  ;254960,42733     ;146510,15733
1001 X 1001;305296,35733  ;390898,75233  ;345251,03733     ;201508,00833
